total_price,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost
50,House,Private room,1,1,2,t
75,Apartment,Entire home/apt,1,1,1,f
155,House,Private room,1,1,1,f
125,Apartment,Entire home/apt,1,1,0,f
130,House,Private room,1,0,1,t
250,Apartment,Entire home/apt,1,1,1,f
140,Apartment,Entire home/apt,1,1,2,t
187,Apartment,Entire home/apt,1,1,2,f
250,Apartment,Entire home/apt,1.5,2,2,f
105,House,Entire home/apt,1,1,1,t
69,House,Private room,1,1,1,f
64,House,Private room,1,1,1,t
370,House,Entire home/apt,3,4,7,t
174,House,Entire home/apt,2.5,2,4,f
344,House,Entire home/apt,2,2,2,t
164,House,Entire home/apt,1.5,3,4,t
225,House,Entire home/apt,1,2,4,t
92,House,Private room,1,1,1,t
400,House,Entire home/apt,2,3,3,f
220,House,Entire home/apt,1,2,2,f
170,House,Entire home/apt,1,2,3,t
102,House,Private room,1,1,1,f
120,Apartment,Entire home/apt,1,1,1,t
185,Apartment,Entire home/apt,1,1,1,t
125,House,Private room,1.5,2,2,t
109,Townhouse,Private room,1,1,1,t
129,Apartment,Entire home/apt,1,1,1,t
75,Townhouse,Private room,1.5,1,1,t
90,House,Private room,1,1,1,t
175,Apartment,Entire home/apt,1,1,1,t
262,House,Entire home/apt,1.5,3,3,t
160,House,Private room,1,1,1,f
95,House,Private room,1,1,1,f
64,House,Private room,1,1,1,f
149,Apartment,Entire home/apt,1,1,0,t
95,House,Private room,1,1,1,t
450,House,Entire home/apt,2.5,3,6,t
225,House,Entire home/apt,1,2,2,f
117,Apartment,Entire home/apt,1,1,1,t
155,House,Private room,1.5,1,0,t
109,Apartment,Private room,2,1,1,t
375,House,Entire home/apt,2,2,2,t
145,House,Entire home/apt,1,1,1,f
109,Apartment,Entire home/apt,1,1,2,f
114,House,Entire home/apt,1,1,2,t
240,House,Entire home/apt,2,2,4,t
144,House,Entire home/apt,1,1,1,f
105,House,Private room,1,1,1,t
244,House,Entire home/apt,1,1,1,t
60,House,Private room,1,1,1,t
73,House,Private room,1,1,1,t
245,House,Entire home/apt,1.5,2,2,t
725,House,Entire home/apt,3.5,6,7,t
399,House,Entire home/apt,1.5,2,2,f
265,House,Entire home/apt,1,1,1,t
918,House,Entire home/apt,2.5,4,4,f
125,Apartment,Entire home/apt,1,0,1,f
185,House,Entire home/apt,1,1,1,f
235,House,Entire home/apt,2,3,3,t
51,House,Private room,1,1,1,f
150,Apartment,Entire home/apt,1,1,2,f
48,House,Private room,1,1,1,f
255,House,Entire home/apt,2,2,2,t
125,House,Entire home/apt,1,1,1,f
160,House,Entire home/apt,1,2,2,f
215,House,Entire home/apt,2,3,3,f
130,Apartment,Entire home/apt,1,1,3,t
175,House,Entire home/apt,1,1,2,t
235,House,Entire home/apt,1,1,2,f
170,House,Entire home/apt,2,3,3,t
134,House,Private room,1.5,1,1,t
280,House,Entire home/apt,2,3,6,f
132,Apartment,Entire home/apt,1,0,1,t
160,Apartment,Entire home/apt,1,1,1,t
63,House,Private room,1,1,1,t
220,House,Entire home/apt,1,1,1,f
292,House,Entire home/apt,2.5,3,3,f
85,House,Private room,1,1,1,t
65,House,Private room,1,1,1,t
200,House,Entire home/apt,1,3,3,t
80,House,Private room,1,0,1,t
80,House,Private room,1,1,1,t
103,House,Private room,1,1,1,t
104,House,Entire home/apt,1,1,2,t
141,Apartment,Entire home/apt,1,1,1,t
80,House,Private room,1,1,1,t
234,House,Entire home/apt,2,3,3,f
155,Apartment,Entire home/apt,1,0,1,t
450,House,Entire home/apt,2.5,3,6,t
345,House,Entire home/apt,2.5,3,5,f
74,Apartment,Entire home/apt,1,1,1,f
124,House,Private room,1,1,2,t
159,Apartment,Entire home/apt,1,2,2,t
525,House,Private room,3.5,2,6,t
175,Apartment,Entire home/apt,1,0,1,t
190,House,Entire home/apt,1,1,2,f
89,House,Private room,1,1,2,f
453,House,Entire home/apt,3,2,6,f
140,Apartment,Entire home/apt,1,1,4,t
324,House,Entire home/apt,3,4,4,t
134,House,Entire home/apt,1,1,2,f
69,Apartment,Private room,2,1,1,t
242,Apartment,Entire home/apt,1,2,2,f
135,House,Entire home/apt,1,1,1,f
141,Apartment,Entire home/apt,1,0,1,t
144,Apartment,Entire home/apt,1,0,1,t
109,Apartment,Private room,2,1,1,t
125,Apartment,Entire home/apt,1,1,2,t
99,House,Private room,1,1,1,t
160,Apartment,Entire home/apt,1,2,2,f
395,House,Entire home/apt,1,1,1,f
265,House,Entire home/apt,2,2,2,t
210,Apartment,Entire home/apt,1.5,2,2,t
180,Apartment,Entire home/apt,1,1,2,f
175,House,Entire home/apt,1.5,2,2,t
229,House,Entire home/apt,2.5,3,4,t
165,Apartment,Entire home/apt,1,1,1,t
175,House,Entire home/apt,1,2,3,t
57,House,Private room,1,1,1,t
109,Apartment,Private room,2,1,1,t
450,House,Entire home/apt,2.5,4,4,f
110,House,Entire home/apt,2,1,1,f
108,Apartment,Entire home/apt,1,1,1,f
225,House,Entire home/apt,2,3,6,t
