total_price,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost
75,Apartment,Entire home/apt,1,1,1,f
155,House,Private room,1,1,1,f
125,Apartment,Entire home/apt,1,1,0,f
130,House,Private room,1,0,1,t
187,Apartment,Entire home/apt,1,1,2,f
250,Apartment,Entire home/apt,1.5,2,2,f
69,House,Private room,1,1,1,f
164,House,Entire home/apt,1.5,3,4,t
225,House,Entire home/apt,1,2,4,t
400,House,Entire home/apt,2,3,3,f
220,House,Entire home/apt,1,2,2,f
170,House,Entire home/apt,1,2,3,t
102,House,Private room,1,1,1,f
125,House,Private room,1.5,2,2,t
129,Apartment,Entire home/apt,1,1,1,t
90,House,Private room,1,1,1,t
175,Apartment,Entire home/apt,1,1,1,t
95,House,Private room,1,1,1,f
149,Apartment,Entire home/apt,1,1,0,t
109,Apartment,Private room,2,1,1,t
375,House,Entire home/apt,2,2,2,t
145,House,Entire home/apt,1,1,1,f
105,House,Private room,1,1,1,t
244,House,Entire home/apt,1,1,1,t
245,House,Entire home/apt,1.5,2,2,t
725,House,Entire home/apt,3.5,6,7,t
125,Apartment,Entire home/apt,1,0,1,f
185,House,Entire home/apt,1,1,1,f
255,House,Entire home/apt,2,2,2,t
160,House,Entire home/apt,1,2,2,f
175,House,Entire home/apt,1,1,2,t
160,Apartment,Entire home/apt,1,1,1,t
63,House,Private room,1,1,1,t
220,House,Entire home/apt,1,1,1,f
65,House,Private room,1,1,1,t
200,House,Entire home/apt,1,3,3,t
80,House,Private room,1,0,1,t
80,House,Private room,1,1,1,t
155,Apartment,Entire home/apt,1,0,1,t
450,House,Entire home/apt,2.5,3,6,t
89,House,Private room,1,1,2,f
453,House,Entire home/apt,3,2,6,f
324,House,Entire home/apt,3,4,4,t
242,Apartment,Entire home/apt,1,2,2,f
135,House,Entire home/apt,1,1,1,f
144,Apartment,Entire home/apt,1,0,1,t
99,House,Private room,1,1,1,t
160,Apartment,Entire home/apt,1,2,2,f
180,Apartment,Entire home/apt,1,1,2,f
229,House,Entire home/apt,2.5,3,4,t
165,Apartment,Entire home/apt,1,1,1,t
175,House,Entire home/apt,1,2,3,t
57,House,Private room,1,1,1,t
450,House,Entire home/apt,2.5,4,4,f
110,House,Entire home/apt,2,1,1,f
82,House,Private room,1,1,1,t
63,House,Private room,1,1,1,t
125,Apartment,Entire home/apt,1,1,1,t
215,House,Entire home/apt,2,3,3,t
125,Apartment,Entire home/apt,1,1,1,t
135,Townhouse,Entire home/apt,1.5,2,2,f
140,Apartment,Entire home/apt,1,1,1,t
110,Apartment,Private room,1,1,2,t
170,House,Entire home/apt,1.5,2,2,t
63,House,Private room,1,1,1,t
171,House,Entire home/apt,2.5,3,3,f
274,House,Entire home/apt,2.5,3,3,t
330,House,Entire home/apt,2,4,4,f
95,Apartment,Entire home/apt,1,1,1,t
255,Condominium,Entire home/apt,1,0,1,t
130,House,Private room,1.5,1,1,t
229,House,Entire home/apt,1.5,2,2,t
135,House,Private room,1,1,1,t
75,House,Private room,1,1,1,f
250,House,Entire home/apt,3.5,4,4,t
339,House,Entire home/apt,1,1,1,f
104,House,Private room,1,1,1,t
230,House,Entire home/apt,1,2,2,t
80,House,Private room,1,1,1,t
175,House,Entire home/apt,1,2,2,t
220,House,Entire home/apt,2,3,3,f
140,House,Entire home/apt,1,2,2,f
85,House,Private room,1,1,1,t
200,House,Private room,1,2,2,f
100,Apartment,Entire home/apt,1,1,1,f
225,Apartment,Entire home/apt,1,1,2,t
465,House,Entire home/apt,2,3,3,t
245,House,Entire home/apt,2,2,2,t
86,House,Private room,1,1,1,t
66,House,Private room,1,1,1,t
600,House,Entire home/apt,3,3,3,t
122,House,Private room,1,1,2,t
107,House,Private room,1,1,1,t
225,Apartment,Entire home/apt,1,1,2,t
220,House,Entire home/apt,1,1,1,f
175,House,Entire home/apt,2,3,2,t
144,House,Entire home/apt,1,0,1,t
125,Apartment,Entire home/apt,1,1,1,t
85,Apartment,Entire home/apt,1,1,1,f
180,House,Entire home/apt,1,1,1,t
152,Apartment,Entire home/apt,1,1,2,t
70,House,Private room,1,1,0,f
67,House,Private room,1,1,1,f
174,House,Entire home/apt,1,2,2,f
330,House,Entire home/apt,2,3,4,t
230,House,Entire home/apt,1,3,0,t
164,Condominium,Entire home/apt,1,1,1,f
125,Apartment,Entire home/apt,1,1,1,t
100,House,Private room,1,1,1,t
144,House,Entire home/apt,1,2,2,f
242,Apartment,Entire home/apt,1,2,2,f
115,Apartment,Entire home/apt,1,1,1,t
70,House,Private room,1.5,1,1,f
166,House,Entire home/apt,2,2,2,t
